,caseid_new,partner_political,resondent_political,income_gap_raw,same_political,income_gap,respondent_earn_more
244,375351,no preference,democrat,i earned more,0,1.0,1.0
245,375486,democrat,democrat,we earned about the same amount,1,0.0,
246,378221,republican,republican,partner earned more,1,1.0,0.0
247,379781,democrat,republican,i earned more,0,1.0,1.0
248,380351,republican,republican,i earned more,1,1.0,1.0
249,381295,"another party, please specify",democrat,partner earned more,0,1.0,0.0
250,383281,republican,republican,i earned more,1,1.0,1.0
251,385491,democrat,democrat,i earned more,1,1.0,1.0
252,386546,democrat,democrat,partner earned more,1,1.0,0.0
253,388731,independent,democrat,i earned more,0,1.0,1.0
254,389541,republican,republican,i earned more,1,1.0,1.0
255,390431,democrat,democrat,partner earned more,1,1.0,0.0
256,392315,independent,republican,i earned more,0,1.0,1.0
257,392341,republican,republican,partner earned more,1,1.0,0.0
258,393591,democrat,democrat,partner earned more,1,1.0,0.0
259,396291,independent,republican,partner earned more,0,1.0,0.0
260,399361,republican,republican,i earned more,1,1.0,1.0
261,401561,no preference,democrat,i earned more,0,1.0,1.0
262,405782,republican,republican,partner earned more,1,1.0,0.0
263,406672,independent,republican,i earned more,0,1.0,1.0
264,412281,republican,republican,partner earned more,1,1.0,0.0
265,413606,democrat,democrat,we earned about the same amount,1,0.0,
266,414721,republican,democrat,partner earned more,0,1.0,0.0
267,420285,democrat,democrat,partner earned more,1,1.0,0.0
268,421436,independent,democrat,partner earned more,0,1.0,0.0
269,422485,democrat,democrat,partner earned more,1,1.0,0.0
270,423411,democrat,democrat,i earned more,1,1.0,1.0
271,425381,republican,republican,partner earned more,1,1.0,0.0
272,427821,republican,republican,we earned about the same amount,1,0.0,
273,429306,republican,republican,partner earned more,1,1.0,0.0
274,431851,no preference,democrat,i earned more,0,1.0,1.0
275,432411,democrat,democrat,i earned more,1,1.0,1.0
276,433481,democrat,democrat,i earned more,1,1.0,1.0
277,437831,republican,other,we earned about the same amount,0,0.0,
278,439271,republican,democrat,i earned more,0,1.0,1.0
279,440811,independent,republican,i earned more,0,1.0,1.0
280,441341,no preference,democrat,i earned more,0,1.0,1.0
281,443301,no preference,democrat,i earned more,0,1.0,1.0
282,444371,democrat,democrat,i earned more,1,1.0,1.0
283,445591,independent,other,partner earned more,0,1.0,0.0
284,448326,democrat,democrat,i earned more,1,1.0,1.0
285,449566,democrat,republican,partner earned more,0,1.0,0.0
286,450291,democrat,democrat,partner earned more,1,1.0,0.0
287,452446,democrat,republican,partner earned more,0,1.0,0.0
288,453361,republican,republican,i earned more,1,1.0,1.0
289,454456,democrat,democrat,i earned more,1,1.0,1.0
290,455601,republican,republican,partner earned more,1,1.0,0.0
291,458621,democrat,democrat,i earned more,1,1.0,1.0
292,461511,democrat,democrat,partner earned more,1,1.0,0.0
293,465386,democrat,democrat,i earned more,1,1.0,1.0
294,466852,republican,democrat,partner earned more,0,1.0,0.0
295,468225,democrat,democrat,we earned about the same amount,1,0.0,
296,469391,republican,republican,i earned more,1,1.0,1.0
297,470261,republican,republican,i earned more,1,1.0,1.0
298,471426,no preference,republican,partner earned more,0,1.0,0.0
299,472431,republican,republican,i earned more,1,1.0,1.0
300,475485,democrat,republican,partner earned more,0,1.0,0.0
301,478561,independent,other,partner earned more,0,1.0,0.0
302,480501,no preference,republican,partner earned more,0,1.0,0.0
303,481445,independent,democrat,partner earned more,0,1.0,0.0
304,483591,democrat,democrat,i earned more,1,1.0,1.0
305,484581,democrat,democrat,partner earned more,1,1.0,0.0
306,489621,democrat,democrat,partner earned more,1,1.0,0.0
307,490291,democrat,democrat,i earned more,1,1.0,1.0
308,491772,democrat,democrat,i earned more,1,1.0,1.0
309,494215,independent,republican,partner earned more,0,1.0,0.0
310,496215,independent,democrat,partner earned more,0,1.0,0.0
311,497295,"another party, please specify",democrat,i earned more,0,1.0,1.0
312,499271,democrat,democrat,we earned about the same amount,1,0.0,
313,501306,no preference,democrat,partner earned more,0,1.0,0.0
314,502721,independent,republican,partner earned more,0,1.0,0.0
315,505381,independent,democrat,we earned about the same amount,0,0.0,
316,506515,democrat,democrat,partner earned more,1,1.0,0.0
317,507491,democrat,democrat,partner earned more,1,1.0,0.0
318,508361,republican,republican,partner earned more,1,1.0,0.0
319,509391,no preference,republican,i earned more,0,1.0,1.0
320,511386,republican,democrat,partner earned more,0,1.0,0.0
321,512356,no preference,democrat,i earned more,0,1.0,1.0
322,513831,republican,republican,i earned more,1,1.0,1.0
323,515281,independent,democrat,partner earned more,0,1.0,0.0
324,516446,democrat,democrat,we earned about the same amount,1,0.0,
325,518481,no preference,republican,i earned more,0,1.0,1.0
326,520581,republican,republican,i earned more,1,1.0,1.0
327,523401,democrat,republican,partner earned more,0,1.0,0.0
328,524471,independent,republican,partner earned more,0,1.0,0.0
329,525291,democrat,democrat,we earned about the same amount,1,0.0,
330,526701,democrat,republican,i earned more,0,1.0,1.0
331,527611,republican,republican,we earned about the same amount,1,0.0,
332,531265,democrat,democrat,we earned about the same amount,1,0.0,
333,532341,no preference,republican,i earned more,0,1.0,1.0
334,533831,republican,republican,partner earned more,1,1.0,0.0
335,535331,no preference,democrat,partner earned more,0,1.0,0.0
336,536205,republican,republican,i earned more,1,1.0,1.0
337,538571,no preference,democrat,i earned more,0,1.0,1.0
338,540435,independent,democrat,i earned more,0,1.0,1.0
339,541261,republican,republican,partner earned more,1,1.0,0.0
340,542711,independent,republican,i earned more,0,1.0,1.0
341,543641,republican,republican,we earned about the same amount,1,0.0,
342,545326,democrat,democrat,partner earned more,1,1.0,0.0
343,546195,republican,republican,we earned about the same amount,1,0.0,
344,549235,democrat,democrat,we earned about the same amount,1,0.0,
345,552391,democrat,democrat,we earned about the same amount,1,0.0,
346,553481,republican,republican,i earned more,1,1.0,1.0
347,554226,democrat,democrat,partner earned more,1,1.0,0.0
348,555401,democrat,democrat,partner earned more,1,1.0,0.0
349,556351,no preference,republican,we earned about the same amount,0,0.0,
350,557215,democrat,democrat,partner earned more,1,1.0,0.0
351,561504,republican,republican,partner earned more,1,1.0,0.0
352,563456,independent,democrat,partner earned more,0,1.0,0.0
353,564405,republican,democrat,i earned more,0,1.0,1.0
354,566581,democrat,democrat,i earned more,1,1.0,1.0
355,567481,republican,democrat,i earned more,0,1.0,1.0
356,569215,independent,republican,we earned about the same amount,0,0.0,
357,570541,democrat,democrat,i earned more,1,1.0,1.0
358,571671,no preference,democrat,i earned more,0,1.0,1.0
359,573381,republican,republican,i earned more,1,1.0,1.0
360,576461,republican,republican,i earned more,1,1.0,1.0
361,577531,democrat,democrat,partner earned more,1,1.0,0.0
362,578381,republican,republican,partner earned more,1,1.0,0.0
363,579591,republican,republican,i earned more,1,1.0,1.0
364,580281,independent,republican,partner earned more,0,1.0,0.0
365,581391,republican,republican,i earned more,1,1.0,1.0
366,582561,no preference,democrat,i earned more,0,1.0,1.0
367,586275,democrat,republican,partner earned more,0,1.0,0.0
368,587291,republican,republican,partner earned more,1,1.0,0.0
369,591385,democrat,republican,i earned more,0,1.0,1.0
370,593511,democrat,democrat,partner earned more,1,1.0,0.0
371,594631,independent,democrat,i earned more,0,1.0,1.0
372,595611,no preference,republican,i earned more,0,1.0,1.0
373,596591,independent,democrat,i earned more,0,1.0,1.0
374,597341,democrat,republican,we earned about the same amount,0,0.0,
375,599531,independent,democrat,we earned about the same amount,0,0.0,
376,600571,republican,democrat,i earned more,0,1.0,1.0
377,601241,republican,democrat,partner earned more,0,1.0,0.0
378,602406,democrat,democrat,partner earned more,1,1.0,0.0
379,604521,no preference,democrat,i earned more,0,1.0,1.0
380,606225,no preference,democrat,i earned more,0,1.0,1.0
381,609701,independent,democrat,partner earned more,0,1.0,0.0
382,610321,independent,republican,i earned more,0,1.0,1.0
383,611351,republican,republican,we earned about the same amount,1,0.0,
384,612291,republican,democrat,partner earned more,0,1.0,0.0
385,613781,republican,republican,partner earned more,1,1.0,0.0
386,615255,no preference,republican,partner earned more,0,1.0,0.0
387,617501,republican,republican,partner earned more,1,1.0,0.0
388,619451,republican,republican,partner earned more,1,1.0,0.0
389,620565,no preference,democrat,partner earned more,0,1.0,0.0
390,622641,independent,democrat,partner earned more,0,1.0,0.0
391,623493,democrat,republican,partner earned more,0,1.0,0.0
392,624536,independent,democrat,we earned about the same amount,0,0.0,
393,626255,republican,republican,partner earned more,1,1.0,0.0
394,627533,democrat,democrat,partner earned more,1,1.0,0.0
395,628841,no preference,republican,partner earned more,0,1.0,0.0
396,630534,democrat,democrat,i earned more,1,1.0,1.0
397,632473,republican,republican,i earned more,1,1.0,1.0
398,633631,independent,democrat,i earned more,0,1.0,1.0
399,635411,republican,republican,partner earned more,1,1.0,0.0
400,636631,no preference,democrat,i earned more,0,1.0,1.0
401,639211,republican,republican,we earned about the same amount,1,0.0,
402,640596,democrat,democrat,partner earned more,1,1.0,0.0
403,645922,refused,democrat,i earned more,0,1.0,1.0
404,646613,democrat,democrat,partner earned more,1,1.0,0.0
405,648586,democrat,democrat,i earned more,1,1.0,1.0
406,650616,no preference,democrat,partner earned more,0,1.0,0.0
407,651701,republican,republican,i earned more,1,1.0,1.0
408,652271,independent,republican,partner earned more,0,1.0,0.0
409,653573,independent,democrat,i earned more,0,1.0,1.0
