,caseid_new,children_in_hh,age_difference,race_gap,religious_gap,edu_gap,met_online,met_at_work,met_at_school,met_at_church,met_travel,met_social,met_party,met_f_and_f,met_as_neighbors,met_public_space,met_offline_dating,met_other,how_met_count,relationship_len,partner_deceased,married_w1_married,married_w1_not married,age_gap_bin_0 to 3,age_gap_bin_11 to 20,age_gap_bin_4 to 5,age_gap_bin_6 to 10,age_gap_bin_>=20,same_sex_couple_different sex couple,same_sex_couple_same-sex couple,edu_gap_bin_0 to 2,edu_gap_bin_3 to 4,edu_gap_bin_5 to 6,edu_gap_bin_>6,parental_approval_approve,parental_approval_dont_approve,relationship_quality_w1_excellent,relationship_quality_w1_fair,relationship_quality_w1_good,relationship_quality_w1_poor,relationship_quality_w1_very poor,age_when_met,family_size,region,metro,region_midwest,region_northeast,region_south,region_west,partner_political,resondent_political,income_gap_raw,same_political,income_gap,respondent_earn_more,relationship_quality_w1,relationship_len_cat
40,82431,0,10.0,0,1,3.0,0,0,0,0,0,0,1,1,0,0,0,0,2,31.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,17.0,5.0,2,1,1,0,0,0,no preference,democrat,i earned more,0,1.0,1.0,good,top_quartile
41,83431,1,1.0,0,0,4.0,0,0,1,0,0,0,1,1,0,0,0,0,3,28.0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,20.0,0.0,0,1,0,0,1,0,republican,republican,partner earned more,1,1.0,0.0,excellent,third_quartile
42,85281,0,5.0,0,1,1.0,0,0,0,0,0,0,0,1,0,1,0,0,2,15.0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,18.0,4.0,0,0,0,0,1,0,republican,republican,partner earned more,1,1.0,0.0,excellent,second_quartile
43,86591,0,7.0,0,1,1.0,0,0,0,1,0,0,0,1,0,0,0,0,2,24.0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,40.0,5.0,0,0,0,0,1,0,democrat,democrat,i earned more,1,1.0,1.0,excellent,third_quartile
44,89766,0,18.0,0,1,3.0,0,0,0,0,0,0,0,1,0,1,0,0,2,40.0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,41.0,2.0,0,1,0,0,1,0,democrat,democrat,we earned about the same amount,1,0.0,,excellent,top_quartile
45,94431,0,13.0,1,1,2.0,0,1,0,0,0,0,0,1,0,0,0,0,2,19.0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,28.0,0.0,1,1,0,0,0,1,democrat,democrat,i earned more,1,1.0,1.0,good,third_quartile
46,95431,3,0.0,0,0,4.0,0,0,0,0,0,0,0,0,0,1,0,0,1,30.0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,18.0,0.0,2,1,1,0,0,0,independent,republican,i earned more,0,1.0,1.0,fair,top_quartile
47,97195,0,0.0,0,0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,2,2.45,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,19.0,3.0,2,0,1,0,0,0,independent,republican,i earned more,0,1.0,1.0,excellent,bottom_quartile
48,99611,0,2.0,1,0,4.0,0,1,0,0,0,0,0,1,0,0,0,0,2,45.0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,18.0,0.0,0,1,0,0,1,0,no preference,democrat,partner earned more,0,1.0,0.0,excellent,top_quartile
49,100331,0,0.0,0,1,1.0,0,0,1,0,0,0,0,0,1,0,0,0,2,16.0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,21.0,1.0,1,1,0,0,0,1,independent,democrat,i earned more,0,1.0,1.0,good,second_quartile
50,103545,0,2.0,0,1,3.0,1,0,0,0,0,0,0,0,0,0,0,0,1,9.0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,50.0,0.0,2,1,1,0,0,0,republican,democrat,i earned more,0,1.0,1.0,excellent,bottom_quartile
51,104565,0,6.0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,5.0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,53.0,0.0,0,1,0,0,1,0,independent,democrat,partner earned more,0,1.0,0.0,excellent,bottom_quartile
52,106296,0,70.0,1,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,20.0,10.0,2,1,1,0,0,0,no preference,republican,we earned about the same amount,0,0.0,,good,second_quartile
53,108381,2,1.0,0,1,4.0,1,0,1,0,0,0,0,1,1,0,0,0,4,24.0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,18.0,4.0,1,1,0,0,0,1,no preference,republican,partner earned more,0,1.0,0.0,fair,third_quartile
54,108501,0,2.0,0,1,0.0,0,0,1,0,0,0,0,1,0,0,0,0,2,32.0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,23.0,0.0,2,0,1,0,0,0,democrat,democrat,i earned more,1,1.0,1.0,excellent,top_quartile
55,110316,0,5.0,1,1,0.0,0,0,1,0,0,1,0,0,0,0,0,0,2,9.0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,24.0,0.0,3,1,0,1,0,0,independent,democrat,i earned more,0,1.0,1.0,good,bottom_quartile
56,112646,0,0.0,0,1,3.0,0,0,0,0,0,0,1,1,0,0,0,0,2,35.0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,34.0,0.0,1,1,0,0,0,1,democrat,democrat,partner earned more,1,1.0,0.0,excellent,top_quartile
57,113235,0,3.0,0,1,3.0,0,1,0,0,0,0,0,1,0,0,0,0,2,8.0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,18.0,4.0,0,1,0,0,1,0,independent,democrat,partner earned more,0,1.0,0.0,good,bottom_quartile
58,114276,0,2.0,0,1,1.0,0,1,1,0,0,0,0,0,0,0,0,0,2,10.0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,21.0,3.0,2,1,1,0,0,0,republican,republican,partner earned more,1,1.0,0.0,excellent,second_quartile
59,115473,0,9.0,0,1,0.0,0,1,0,0,0,0,0,1,1,0,0,0,3,11.0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,36.0,0.0,1,1,0,0,0,1,democrat,democrat,i earned more,1,1.0,1.0,good,second_quartile
60,116271,0,3.0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,12.0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,20.0,3.0,2,1,1,0,0,0,no preference,democrat,i earned more,0,1.0,1.0,excellent,second_quartile
61,117401,0,,0,1,0.0,1,0,0,0,1,0,1,1,0,0,0,0,4,19.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,24.0,13.0,2,1,1,0,0,0,republican,other,partner earned more,0,1.0,0.0,good,third_quartile
62,119371,2,10.0,0,1,0.0,1,0,0,0,0,0,0,1,0,1,0,0,3,13.0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,29.0,0.0,0,1,0,0,1,0,independent,democrat,i earned more,0,1.0,1.0,excellent,second_quartile
63,119663,0,11.0,0,1,2.0,0,0,0,0,0,0,0,0,0,1,0,0,1,25.0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,46.0,0.0,0,1,0,0,1,0,democrat,republican,partner earned more,0,1.0,0.0,good,third_quartile
