caseid_new,relationship_len,partner_deceased,relationship_quality_w1
973581,22,0,excellent
974591,30,0,excellent
976531,43,0,excellent
977741,59,0,fair
978651,53,0,excellent
979711,54,0,excellent
982591,9,0,excellent
983661,19,0,excellent
984451,33,0,good
985571,40,0,good
986481,38,0,good
987411,24,0,excellent
989215,11,0,excellent
990636,28,0,excellent
991466,11,0,good
992341,14,0,good
995656,17,0,good
998391,14,0,excellent
999231,9,0,good
1000561,39,0,excellent
1001791,58,0,good
1003291,15,0,excellent
1004741,62,0,good
1005421,27,0,fair
1006611,30,0,excellent
1008275,10,0,excellent
1009361,12,0,excellent
1010732,51,1,good
1011511,19,0,excellent
1013451,26,0,excellent
1015371,21,0,excellent
1017606,37,0,excellent
1018641,49,0,good
1021791,64,0,good
1022721,45,0,excellent
1023721,59,0,excellent
1024643,21,0,excellent
1026381,12,0,good
1029571,43,1,excellent
1030441,29,0,excellent
1031721,21,0,excellent
1033811,43,0,excellent
1034483,22,0,excellent
1035596,24,0,excellent
1036721,21,0,excellent
1037633,5.75,0,good
1038241,15,0,fair
1039481,36,0,excellent
1040361,9,0,excellent
1041291,10,0,excellent
1043811,65,0,excellent
1044601,47,0,excellent
1045611,50,0,excellent
1046321,16,0,excellent
1048266,7.5,0,excellent
1050395,15,0,good
1052595,21,0,excellent
1057782,48,0,
1058195,0.45,0,good
1059286,13,0,excellent
1061491,38,0,excellent
1062551,32,0,excellent
1064496,1.5,0,good
1069616,10,0,excellent
1073351,14,0,good
1074381,29,0,good
1075832,70,0,fair
1076291,15,0,excellent
1078631,32,0,excellent
1079255,7.5,0,excellent
1080831,60,0,excellent
1083446,22,0,excellent
1084706,21,0,excellent
1085626,10,0,good
1087551,40,0,excellent
1090535,8,0,excellent
1091712,9,0,excellent
1092291,12,0,excellent
1093441,12,0,excellent
1094453,19,0,good
1096341,15,0,excellent
1097281,10,0,excellent
1098406,9,0,good
1099651,50,0,excellent
1100361,20,0,excellent
1101471,34,0,good
1103641,36,0,excellent
1104541,39,0,excellent
1105706,25,0,good
1106521,37,0,poor
1109341,20,0,excellent
1110421,27,0,excellent
1111291,6,0,fair
1112651,53,0,excellent
1113205,9,0,excellent
1114781,49,0,excellent
1115241,11,0,excellent
1118711,38,0,excellent
1119781,50,0,excellent
1121235,2.75,0,good
1123532,37,0,excellent
1124611,47,0,excellent
1127351,19,0,excellent
1130254,10,0,fair
1131421,19,0,good
1133286,15,0,fair
1134571,43,0,excellent
1135451,18,0,good
1136341,11,0,excellent
1137461,29,0,good
1138226,9,0,excellent
1140623,6,0,excellent
1144612,19,1,excellent
1145473,9,0,good
1146742,6.5,0,good
1147471,36,0,excellent
1148571,14,0,fair
1149591,49,0,fair
1152556,33,0,excellent
1153741,60,0,excellent
1154421,21,0,excellent
1155496,33,0,good
1157671,47,0,excellent
1160731,60,0,excellent
1162493,4,0,good
1163761,64,0,good
1164235,5.75,0,excellent
1166341,18,0,excellent
1169771,66,0,excellent
1170601,18,0,fair
1171561,20,1,excellent
1173661,15,0,excellent
1177285,1.45,0,excellent
1179591,49,0,excellent
1180271,16,0,fair
1181656,18,0,excellent
1183831,70,0,excellent
1184501,37,0,good
1185644,27,0,excellent
1187235,6.5,0,excellent
1188821,66,0,fair
1189486,25,0,good
1193586,12,0,good
1198411,27,0,fair
1199541,40,0,very poor
1200626,19,0,excellent
1202681,55,0,excellent
1203431,25,0,excellent
1204395,6.5,0,good
1205802,52,0,excellent
1206512,27,0,good
1207731,58,0,fair
1208205,5.45,0,excellent
1209621,33,0,excellent
1210536,9,0,excellent
1213771,55,0,excellent
1214546,9,0,good
1216365,17,0,good
1217341,12,0,fair
1219921,75,0,excellent
1220631,34,0,excellent
1222671,54,0,good
1223621,36,0,excellent
1225585,0.15,0,excellent
1226651,48,0,good
1228415,0.45,0,excellent
1232501,34,0,good
1233501,39,0,excellent
1234331,20,0,good
1235316,17,0,good
1240456,15,0,good
1241521,34,0,excellent
1243681,55,0,excellent
1249671,52,0,excellent
1250456,7.5,0,excellent
1252476,11,0,excellent
1253471,10,0,excellent
1254703,13,0,excellent
1255801,65,0,excellent
1256565,10,0,good
1257371,21,0,excellent
1258751,59,0,excellent
1260536,19,0,excellent
1261401,20,0,excellent
1262421,13,0,good
1263261,9,0,excellent
1265752,64,0,excellent
1266516,17,0,good
1267401,27,0,excellent
1269411,15,0,excellent
1270636,41,0,excellent
1271456,20,0,good
1273236,9,0,excellent
1274576,22,0,excellent
1275585,4.45,0,fair
1277421,29,0,excellent
1278541,32,1,excellent
1279296,4,0,fair
1280305,7.5,0,excellent
1281395,7,0,fair
1283621,42,0,excellent
1284701,58,0,excellent
1285703,37,0,good
1286415,9,0,excellent
1287613,7.5,0,good
1289291,20,0,excellent
1290401,12,0,excellent
1291771,56,0,excellent
1294631,47,0,excellent
1297901,75,0,excellent
1298581,21,0,excellent
1299356,11,0,excellent
1301626,42,0,excellent
1302415,4.5,0,excellent
1303571,34,0,excellent
1305741,62,0,excellent
1306381,12,0,excellent
1307306,9,0,excellent
1308821,67,0,excellent
1310523,3.75,0,excellent
1312301,15,0,excellent
1313431,26,0,excellent
1314201,7.5,0,excellent
1315536,8,0,excellent
1316391,22,0,fair
1320215,10,0,excellent
1323596,18,0,excellent
1325391,29,0,excellent
1326451,24,0,excellent
1327693,20,0,excellent
1328713,44,0,excellent
1329235,7.5,0,good
1330251,9,0,excellent
1332405,6.5,0,excellent
1333711,57,0,excellent
1334261,9,0,excellent
1335363,5.75,0,good
1340556,34,0,good
1341511,37,0,excellent
1345356,9,0,excellent
1348345,0.15,0,good
1349311,11,0,excellent
1352771,59,0,excellent
1354291,15,0,excellent
1356751,63,0,excellent
1358455,7.5,0,excellent
1361771,57,0,excellent
1363253,11,0,good
1364533,2.5,0,good
1366341,17,0,excellent
1367841,62,0,excellent
1368545,0.75,0,excellent
1369721,22,0,excellent
1370453,11,0,fair
1371681,57,0,excellent
1372391,23,0,excellent
1373663,1.5,0,fair
1374731,56,0,excellent
1375681,41,0,good
1376386,9,0,good
1377811,66,0,excellent
1378732,59,0,fair
1379291,13,0,excellent
1380606,29,0,excellent
1381205,5.75,0,excellent
1382546,9,0,good
1383671,51,0,excellent
1384431,18,0,excellent
1386291,14,0,excellent
1387255,6.5,0,good
1388606,9,0,excellent
1392612,13,0,fair
1393286,15,0,excellent
1394385,9,0,good
1396626,7,0,good
1398431,20,0,fair
1401456,25,0,good
1402461,30,0,good
1403571,42,0,excellent
1405701,36,0,excellent
1408531,45,0,fair
1409551,40,0,excellent
1410441,24,0,excellent
1411661,46,0,excellent
1412495,11,0,good
1413821,9,0,good
1416791,63,0,excellent
1418265,9,0,excellent
1421401,23,0,good
1422621,45,0,excellent
1425271,14,0,excellent
1426355,7.5,0,excellent
1427636,28,0,excellent
1428631,44,0,excellent
1430681,19,0,excellent
1433533,43,0,good
1434421,18,0,good
1435285,0.05,0,good
1437591,44,0,good
1438781,59,0,excellent
1439225,1.5,0,excellent
1440573,2.75,0,excellent
1445491,18,0,excellent
1446561,34,0,excellent
1447506,5.75,0,good
1449706,22,0,excellent
1450553,5.45,0,good
1451501,36,0,good
1453663,5.05,0,good
1454411,20,0,good
1456556,18,0,good
1458801,67,0,excellent
1459321,13,0,excellent
1461341,17,0,excellent
1463856,0.15,0,excellent
1464431,20,0,excellent
1465371,22,0,excellent
1466245,13,0,good
1467541,26,0,excellent
1468606,41,0,good
1469225,5.45,0,excellent
1472491,32,0,excellent
1473421,20,0,excellent
1474566,31,0,good
1475711,53,0,excellent
1476271,14,0,good
1477205,6.5,0,excellent
1478566,42,0,excellent
1479275,0.15,0,good
1480621,48,0,excellent
1482336,14,0,excellent
1484521,41,0,good
1485791,,0,excellent
1488486,14,0,excellent
1490563,9,0,good
1491391,21,0,excellent
1492642,9,0,excellent
1493501,34,0,good
1494381,20,0,excellent
1495643,14,0,good
1496621,51,0,excellent
1497641,42,0,good
1498471,32,0,excellent
1500551,12,0,excellent
1505246,15,0,fair
1506761,31,0,excellent
1507475,0.15,1,good
1509726,35,1,good
1511571,43,1,excellent
1512761,64,0,excellent
1513511,35,0,poor
1514561,39,0,excellent
1515601,43,0,excellent
1516441,18,0,excellent
1517771,54,0,excellent
1518501,20,0,excellent
1519266,0.15,0,good
1520271,16,0,very poor
1521461,34,0,good
1522341,14,0,good
1523526,17,0,excellent
1524351,15,0,excellent
1525665,15,0,good
1527295,5.75,0,excellent
1529205,1.5,0,excellent
1530311,15,0,excellent
1531821,46,0,excellent
1532631,34,0,good
1534361,9,0,excellent
1536831,68,0,excellent
1537541,18,0,excellent
1538731,59,0,excellent
1540693,3.5,0,excellent
1541384,5.45,0,excellent
1544581,12,0,good
1546505,13,0,excellent
1547271,11,0,excellent
1549701,30,0,excellent
1550851,69,0,excellent
1551231,2.05,0,good
1552386,1.75,0,good
1553205,0.05,0,good
1554466,20,0,excellent
1555195,5.75,0,good
1558251,11,0,excellent
1559571,15,0,excellent
1560702,53,0,excellent
1563713,5.15,0,excellent
1564453,5.75,0,good
1565636,30,0,good
1567444,12,0,excellent
1568251,9,0,good
1569351,20,0,excellent
1570286,13,0,excellent
1571463,1.5,0,fair
1573641,46,0,excellent
1574481,16,0,excellent
1575691,59,0,excellent
1577546,9,0,excellent
1579693,30,0,good
1580691,24,0,excellent
1582653,5.75,0,excellent
1584491,26,0,excellent
1585543,5.15,0,fair
1586641,20,0,excellent
1587316,10,0,fair
1588416,9,0,good
1589361,26,0,good
1590491,10,0,excellent
1591601,20,0,good
1592631,25,0,good
1593301,9,0,excellent
1594842,68,0,excellent
1595371,14,0,excellent
1597546,36,0,excellent
1599291,9,0,good
1600711,56,0,excellent
1601511,37,0,excellent
1602401,17,0,very poor
1603265,7.5,0,excellent
1605481,17,0,excellent
1606456,14,0,excellent
1608266,12,0,good
1610771,59,0,good
1611503,9,0,good
1612235,7.5,0,excellent
1613271,11,0,excellent
1615431,1.45,0,excellent
1617575,1.5,0,excellent
1619401,17,0,excellent
1620371,13,0,very poor
1621812,61,1,
1622621,46,0,good
1623351,19,0,good
1624601,37,0,excellent
1625871,66,0,fair
1626891,68,0,excellent
1627291,11,0,excellent
1628461,27,0,excellent
1629821,56,0,excellent
1630551,21,0,good
1631443,2.5,0,fair
1632802,69,0,good
1634672,53,0,fair
1635436,9,0,good
1637395,7,0,excellent
1638721,21,0,excellent
1639691,53,0,fair
1641281,12,0,excellent
1642351,15,0,excellent
1643761,60,0,good
1644245,13,0,excellent
1645323,7.5,0,excellent
1647511,28,0,excellent
1648276,9,0,excellent
1650205,7.5,0,fair
1652451,20,0,excellent
1653653,5,0,fair
1654671,32,0,excellent
1655555,3.5,0,good
1657335,2.15,0,good
1661682,7.5,0,excellent
1664275,6.5,0,excellent
1665713,17,0,excellent
1667291,16,0,excellent
1668241,12,0,good
1669566,29,0,excellent
1671291,14,0,excellent
1672325,21,0,excellent
1673321,5,0,poor
1674621,,0,excellent
1675641,33,0,fair
1676566,19,0,excellent
1677766,37,0,excellent
1678601,48,0,excellent
1681661,35,0,good
1683821,49,0,good
1685385,10,0,good
1686502,26,1,good
1687301,14,0,good
1688541,29,0,excellent
1689375,1.5,0,fair
1691641,25,0,excellent
1692566,12,0,fair
1693481,33,0,excellent
1697445,1.5,0,good
1698641,51,0,excellent
1699641,54,0,excellent
1700416,7.5,0,good
1703712,6.5,0,excellent
1704403,0.15,0,good
1705261,12,0,excellent
1706351,22,0,excellent
1707621,45,0,excellent
