,caseid_new,married_w1,children_in_hh,age_difference,age_gap_bin_0_to_3,age_gap_bin_4_to_5,age_gap_bin_6_to_10,age_gap_bin_11_to_20,age_gap_bin_>=20,race_gap,religious_gap,same_sex_couple,parental_approval,edu_gap,edu_gap_bin_0_to_2,edu_gap_bin_3_to_4,edu_gap_bin_5_to_6,edu_gap_bin_>6,met_online,met_at_work,met_at_school,met_at_church,met_travel,met_social,met_party,met_f_and_f,met_as_neighbors,met_public_space,met_offline_dating,met_other,how_met_count,relationship_len,partner_deceased,relationship_quality_w1_excellent,relationship_quality_w1_fair,relationship_quality_w1_good,relationship_quality_w1_poor,relationship_quality_w1_very poor
70,130266,1,0,6.0,0,0,1,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7.5,0,1,0,0,0,0
71,131561,1,0,4.0,0,1,0,0,0,0,1,0,1,0.0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,3,43.0,0,1,0,0,0,0
72,133521,1,1,2.0,1,0,0,0,0,0,0,0,1,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,41.0,0,1,0,0,0,0
73,134275,0,0,3.0,1,0,0,0,0,0,1,0,1,0.0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,3,7.5,0,1,0,0,0,0
74,134461,0,0,4.0,0,1,0,0,0,0,1,0,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5.75,0,1,0,0,0,0
75,135736,0,0,7.0,0,0,1,0,0,0,1,1,0,7.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,23.0,0,1,0,0,0,0
76,136275,0,0,1.0,1,0,0,0,0,1,1,0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6.5,0,0,0,1,0,0
77,137215,0,0,0.0,1,0,0,0,0,0,0,1,1,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7.5,0,1,0,0,0,0
78,140511,1,3,0.0,1,0,0,0,0,0,1,0,1,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,36.0,0,1,0,0,0,0
79,142561,1,0,4.0,0,1,0,0,0,1,1,0,0,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,44.0,0,1,0,0,0,0
80,143746,0,0,0.0,1,0,0,0,0,0,0,1,0,8.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,45.0,1,1,0,0,0,0
81,144545,0,0,21.0,0,0,0,0,1,1,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,19.0,0,1,0,0,0,0
82,145611,1,1,3.0,1,0,0,0,0,0,1,0,0,0.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,46.0,0,1,0,0,0,0
83,147245,0,0,2.0,1,0,0,0,0,0,1,0,0,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2.75,0,0,1,0,0,0
84,147525,0,0,19.0,0,0,0,1,0,0,0,1,0,1.0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,23.0,0,1,0,0,0,0
85,150411,1,0,3.0,1,0,0,0,0,1,1,0,1,1.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,13.0,0,1,0,0,0,0
86,151506,1,0,17.0,0,0,0,1,0,0,0,0,1,3.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,15.0,0,1,0,0,0,0
87,152762,1,0,4.0,0,1,0,0,0,0,0,0,0,3.0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,3,59.0,1,0,1,0,0,0
88,154531,1,2,3.0,1,0,0,0,0,0,0,0,0,5.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,34.0,0,0,0,1,0,0
89,155561,1,0,5.0,0,1,0,0,0,0,1,0,1,3.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,40.0,0,1,0,0,0,0
90,156486,0,0,14.0,0,0,0,1,0,1,1,1,0,2.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,13.0,0,1,0,0,0,0
91,157421,1,1,10.0,0,0,1,0,0,0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,16.0,0,0,0,1,0,0
92,158261,1,0,3.0,1,0,0,0,0,0,1,0,1,2.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,11.0,0,1,0,0,0,0
93,161715,0,0,1.0,1,0,0,0,0,0,1,0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,51.0,0,1,0,0,0,0
94,162521,1,0,3.0,1,0,0,0,0,0,0,0,1,1.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,34.0,0,0,0,1,0,0
95,163195,0,0,1.0,1,0,0,0,0,0,0,0,1,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5.15,0,1,0,0,0,0
96,166381,1,0,7.0,0,0,1,0,0,1,1,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,15.0,0,1,0,0,0,0
97,167245,0,0,35.0,0,0,0,0,1,0,1,0,1,3.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6.0,0,1,0,0,0,0
98,168646,1,0,13.0,0,0,0,1,0,0,1,1,0,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,26.0,0,1,0,0,0,0
99,171391,1,0,3.0,1,0,0,0,0,0,0,0,1,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,5.45,0,0,0,1,0,0
100,172291,1,0,0.0,1,0,0,0,0,0,1,0,1,2.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,18.0,0,1,0,0,0,0
101,173671,1,0,1.0,1,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,54.0,0,0,0,1,0,0
102,174603,0,0,3.0,1,0,0,0,0,0,1,0,0,4.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,15.0,0,1,0,0,0,0
103,176495,0,0,9.0,0,0,1,0,0,0,0,1,1,7.0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2,7.5,0,1,0,0,0,0
104,177386,0,0,3.0,1,0,0,0,0,0,0,1,1,4.0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,14.0,0,0,0,1,0,0
105,179461,1,0,2.0,1,0,0,0,0,0,1,0,1,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,27.0,0,0,0,1,0,0
106,180415,1,0,10.0,0,0,1,0,0,1,1,1,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,17.0,0,1,0,0,0,0
107,181403,0,0,5.0,0,1,0,0,0,0,1,0,1,2.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,19.0,0,1,0,0,0,0
