,caseid_new,relationship_len,partner_deceased,relationship_quality_w1,category
202,314341,17.0,0,good,second_quartile
203,320631,36.0,0,good,top_quartile
204,321421,27.0,0,good,third_quartile
205,322421,21.0,0,good,third_quartile
206,323481,31.0,0,excellent,top_quartile
207,326341,19.0,0,excellent,third_quartile
208,328341,14.0,0,good,second_quartile
209,329551,31.0,0,good,top_quartile
210,330496,35.0,0,excellent,top_quartile
211,331691,52.0,1,good,top_quartile
212,332401,25.0,0,excellent,third_quartile
213,333541,12.0,0,good,second_quartile
214,335326,6.5,0,excellent,bottom_quartile
215,336205,7.0,0,excellent,bottom_quartile
216,337581,43.0,0,excellent,top_quartile
217,338546,39.0,0,good,top_quartile
218,341391,5.0,0,good,bottom_quartile
219,342596,24.0,0,good,third_quartile
220,343421,31.0,0,excellent,top_quartile
221,344396,14.0,0,excellent,second_quartile
222,345491,12.0,0,poor,second_quartile
223,346371,24.0,0,excellent,third_quartile
224,347716,22.0,0,good,third_quartile
225,348456,9.0,0,good,bottom_quartile
226,350771,61.0,0,excellent,top_quartile
227,351405,0.75,0,good,bottom_quartile
228,352336,20.0,0,excellent,third_quartile
229,353285,16.0,0,excellent,second_quartile
230,354331,13.0,0,good,second_quartile
231,355771,65.0,0,excellent,top_quartile
232,358321,18.0,0,excellent,third_quartile
233,359511,11.0,0,good,second_quartile
234,360291,14.0,0,,second_quartile
235,361593,12.0,1,excellent,second_quartile
236,362491,39.0,0,excellent,top_quartile
237,363761,66.0,0,excellent,top_quartile
238,364365,9.0,0,excellent,bottom_quartile
239,367471,33.0,0,very poor,top_quartile
240,368611,51.0,0,excellent,top_quartile
241,370713,43.0,0,fair,top_quartile
242,371551,38.0,0,good,top_quartile
243,374391,16.0,0,good,second_quartile
244,375351,19.0,0,very poor,third_quartile
245,375486,13.0,0,excellent,second_quartile
246,378221,7.5,0,excellent,bottom_quartile
247,379781,5.0,1,excellent,bottom_quartile
248,380351,15.0,1,excellent,second_quartile
249,381295,6.0,0,excellent,bottom_quartile
250,383281,14.0,0,excellent,second_quartile
251,385491,26.0,0,good,third_quartile
252,386546,16.0,0,excellent,second_quartile
253,388731,59.0,0,excellent,top_quartile
254,389541,33.0,0,good,top_quartile
255,390431,13.0,0,excellent,second_quartile
256,392315,0.45,0,fair,bottom_quartile
257,392341,17.0,0,excellent,second_quartile
258,393591,48.0,0,excellent,top_quartile
259,396291,16.0,0,excellent,second_quartile
260,399361,20.0,0,excellent,third_quartile
261,401561,16.0,0,good,second_quartile
262,405782,6.5,0,excellent,bottom_quartile
263,406672,0.75,0,excellent,bottom_quartile
264,412281,4.5,0,fair,bottom_quartile
265,413606,32.0,0,excellent,top_quartile
266,414721,56.0,0,excellent,top_quartile
267,420285,6.5,0,excellent,bottom_quartile
268,421436,16.0,0,excellent,second_quartile
269,422485,13.0,0,fair,second_quartile
270,423411,23.0,0,excellent,third_quartile
271,425381,27.0,0,excellent,third_quartile
272,427821,70.0,0,excellent,top_quartile
